study_idx,iso3,country,kp,year,study,author,link,public_report
69,ETH,Ethiopia,FSW,2020,"SIZE ESTIMATION, HIV and other stis prevalence among Female sex workers in Ethiopia: National HIV and other STIs Bio-Behavioral Survey (NHSBS)","The Ethiopian Pulblic Health Institute, Federal HIV/AIDS Prevention and Control Office",,Yes
70,ETH,Ethiopia,PWID,2015,"Prevalence of HIV and other infections and injection behaviours among people who inject drugs in Addis Ababa, Ethiopia",Demissie et al.,https://pubmed.ncbi.nlm.nih.gov/30319040/,Yes
71,ETH,Ethiopia,PWID,2019,"Population estimation and harm reduction among people who inject drugs in Addis Ababa, Ethiopia",Deyessa et al,https://harmreductionjournal.biomedcentral.com/articles/10.1186/s12954-020-00407-x,Yes
72,GHA,Ghana,MSM,2011,The Ghana Men's Study,Ghana AIDS Commission,,Yes
73,GHA,Ghana,FSW,2015,2015 Mapping And Population Size Estimation Of Female Sex Workers In Ghana,Ghana AIDS Commission,,Yes
74,GHA,Ghana,MSM,2017,Ghana Men's Study II,Ghana AIDS Commission,https://www.ghanaids.gov.gh/mcadmin/Uploads/Ghana%20Men%27s%20Study%20Report(2).pdf,Yes
75,GHA,Ghana,CFSW,2011,IBBS 2011,Ghana MoH,,Yes
75,GHA,Ghana,FSW,2011,Integrated Biological and Behavioral Surveillance Survey among Female Sex Workers in Ghana: 2010-2011,Ghana AIDS Commission,,Yes
76,GHA,Ghana,FSW,2019,POPULATION SIZE ESTIMATES AND INTEGRATED BIOLOGICAL AND BEHAVIORAL SURVEY AMONG FEMALE SEX WORKERS AND THEIR INTIMATE PARTNERS IN GHANA,"Ghana AIDS Commission, University of Ghana",,Yes
77,GHA,Ghana,FSW,2020,National and subnational size estimation of female sex workers in Ghana 2020: Comparing 3-source capture-recapture with other approaches,Guure et al.,https://doi.org/10.1371/journal.pone.0256949,Yes
79,GHA,Ghana,FSW,2015,BIO-BEHAVIORAL SURVEY AMONG FEMALE SEX WORKERS AND THEIR NON-PAYING PARTNERS  IN GHANA,Ghana AIDS Commission,,Yes
79,GHA,Ghana,NPP,2015,Bio-Behavioral Survey among Female Sex Workers and Their Non-Paying Partners in Ghana,Ghana AIDS Commission,,Yes
80,GHA,Ghana,FSW,2011,2011 Mapping and Population Size Estimation of FSWs in Ghana,"Ghana AIDS Commission, FHI360",,Yes
82,GHA,Ghana,PWID,2018,"High levels of used syringe use and unsafe sex among people who inject drugs in Kumasi, Ghana: an urgent call for a comprehensive harm reduction approach",Messersmith et al,https://pubmed.ncbi.nlm.nih.gov/34112187/,Yes
83,GHA,Ghana,PWID,2021,Rapid assessment of people who use drugs (PWUD) and People who Inject Drugs (PWID) in Ghana,University of Ghana,,Yes
84,GIN,Guinea,PWID,2017,"Etude de surveillance comportementale et biologique (ESCOMB) sur les IST, le VIH/SIDA et la syphilis auprès des populations clés et groupes vulnérables en Guinée, 2017 »","PSI/Guinée, SE/CNLS, PNPCSP",http://cnls-guineeconakry.org/wp-content/uploads/2018/09/Rapport-final-ESCOMB-Guinee-2017-version-finale.pdf,Yes
84,GIN,Guinea,FSW,2017,"Etude de surveillance comportementale et biologique (ESCOMB) sur les IST, le VIH/SIDA et la syphilis auprès des populations clés et groupes vulnérables en Guinée, 2017 »","PSI/Guinée, SE/CNLS, PNPCSP",http://cnls-guineeconakry.org/wp-content/uploads/2018/09/Rapport-final-ESCOMB-Guinee-2017-version-finale.pdf,Yes
85,GIN,Guinea,MSM,2017,Etude d'estimation de la taille de professionnel(le)s du sexe (PS) et des hommes ayant des rapports sexuels avec d'autres hommes (HSH) en Guinee,"PSI/Guinée, SE/CNLS, PNPCSP",https://portail.sante.gov.gn/wp-content/uploads/2022/02/Annexe-27_Rapport_etude_nationale_estimation_taille_PS_HSH_Guin%C3%A9e-2017.pdf,Yes
85,GIN,Guinea,FSW,2017,Etude d'estimation de la taille de professionnel(le)s du sexe (PS) et des hommes ayant des rapports sexuels avec d'autres hommes (HSH) en Guinee,"PSI/Guinée, SE/CNLS, PNPCSP",https://portail.sante.gov.gn/wp-content/uploads/2022/02/Annexe-27_Rapport_etude_nationale_estimation_taille_PS_HSH_Guin%C3%A9e-2017.pdf,Yes
86,GIN,Guinea,FSW,2013,"Etude sur l’estimation de la taille des professionnelles de sexe (PS) à l’intérieur du pays-République de Guinée, 2013",Guinea MoH,,No - obtained from UNAIDS source repository
87,GIN,Guinea,MSM,2013,"Etude d’estimation de la taille des hommes ayant des rapports sexuels avec les hommes (HSH) à l’intérieur du pays-République de Guinée, 2013",Guinea MoH,https://cnls-guineeconakry.org/wp-content/uploads/2018/09/Rapport-Estimation-taille-HSH-%C3%A0-lint%C3%A9rieur-du-pays_2013.pdf,No - obtained from UNAIDS source repository
88,GIN,Guinea,FSW,2011,Estimation De La Taille Des Professionnelles Du Sexe (PS) Dans La Ville De Conakry,Guinea MoH,http://cnls-guineeconakry.org/wp-content/uploads/2018/09/Rapport-Estimation-de-la-taille-des-PS-%C3%A0-Conakry_2012.pdf,Yes
89,GIN,Guinea,MSM,2011,Estimation De La Taille Des Hommes Ayant Des Rapports Sexuels Avec Des Hommes (HSH) Dans La Ville De Conakry,Guinea MoH,https://osc-guinee.org/wp-content/uploads/2023/04/Rapport-Estimation-de-la-taille-des-HSH-a-Conakry_2012.pdf,Yes
90,GIN,Guinea,MSM,2017,Etude de Surveillance Comportementale et Biologique sur le VIH auprÃ¨s des Hommes ayant des relations Sexuelles avec des Hommes (HSH) EN GUINEE. (ESCOMB),Guinea MoH,https://cnls-guineeconakry.org/wp-content/uploads/2018/09/Rapport-Final-Escomb-HSH-2017.pdf,Yes
92,GMB,Gambia,FSW,2011,A cross-sectional evaluation of the prevalence and associations of HIV among female sex workers in the Gambia,Pietzmeier et al.,https://pubmed.ncbi.nlm.nih.gov/23970652/,Yes
93,GMB,Gambia,MSM,2011,"A cross-sectional analysis of population demographics, HIV knowledge and risk behaviors, and prevalence and associations of HIV among men who have sex with men in the Gambia",Mason et al.,https://pubmed.ncbi.nlm.nih.gov/23875674/,Yes
94,GMB,Gambia,FSW,2017,"Integrated Biological Behavioural Surveillance Survey of Vulnerable Groups, The Gambia 2018: Final Report","Enda Santé, Actionaid, JHU",,Yes
94,GMB,Gambia,MSM,2017,"Integrated Biological Behavioural Surveillance Survey of Vulnerable Groups, The Gambia 2018: Final Report","Enda Santé, Actionaid, JHU",,Yes
97,GNB,Guinea-Bissau,MSM,2010,ESTUDO EXPLORATÓRIO DE HOMENS QUE FAZEM SEXO COM HOMENS NA GUINE-BISSAU,Enda Santé,,Yes
98,GNB,Guinea-Bissau,MSM,2017,Estudo Biológico e Sócio Comportamental e estimativa do tamanho nas populações mais expostas ao risco de infeção pelo VIH na República da Guiné-Bissau,Enda Santé,,Yes
98,GNB,Guinea-Bissau,FSW,2018,Estudo Biológico e Sócio Comportamental e estimativa do tamanho nas populações mais expostas ao risco de infeção pelo VIH na República da Guiné-Bissau,Enda Santé,,Yes
99,GNQ,Equatorial Guinea,FSW,2021,"Informe De La Encuesta Nacional Sobre Realidades Lgbti, Trabajadores De Sexo Y Encarcelados En Las Ciudades De Malabo, Bata, Ebibeyon Y Mongo",UNAIDS,,Yes
99,GNQ,Equatorial Guinea,MSM,2021,"Informe De La Encuesta Nacional Sobre Realidades Lgbti, Trabajadores De Sexo Y Encarcelados En Las Ciudades De Malabo, Bata, Ebibeyon Y Mongo",UNAIDS,,Yes
101,KEN,Kenya,PWID,2011,"2010–2011 Integrated Biological and Behavioural Surveillance Survey among Key Populations in Nairobi and Kisumu, Kenya",Kenya MoH,https://globalhealthsciences.ucsf.edu/sites/globalhealthsciences.ucsf.edu/files/pub/final_report_keypops_ibbs_nov_24_2014_print.pdf,Yes
101,KEN,Kenya,FSW,2010,"2010–2011 Integrated Biological and Behavioural Surveillance Survey among Key Populations in Nairobi and Kisumu, Kenya",Kenya MoH,https://globalhealthsciences.ucsf.edu/sites/globalhealthsciences.ucsf.edu/files/pub/final_report_keypops_ibbs_nov_24_2014_print.pdf,Yes
101,KEN,Kenya,MSM,2010,"2010–2011 Integrated Biological and Behavioural Surveillance Survey among Key Populations in Nairobi and Kisumu, Kenya",Kenya MoH,https://globalhealthsciences.ucsf.edu/sites/globalhealthsciences.ucsf.edu/files/pub/final_report_keypops_ibbs_nov_24_2014_print.pdf,Yes
103,KEN,Kenya,PWID,2013,Co-Infection Burden of Hepatitis C Virus and Human Immunodeficiency Virus among Injecting Heroin Users at the Kenyan Coast,Mwatelah et al.,https://pubmed.ncbi.nlm.nih.gov/26208212/,Yes
104,KEN,Kenya,PWID,2013,Hepatitis B virus sero-profiles and genotypes in HIV-1 infected and uninfected injection and Non-injection drug users from coastal Kenya,Webale et al.,https://bmcinfectdis.biomedcentral.com/articles/10.1186/s12879-015-1060-3,Yes
105,KEN,Kenya,PWID,2010,"A Venue-Based Approach to Reaching MSM, IDUs and the General Population with VCT: A Three Study Site in Kenya",Singh et al.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4026063/,Yes
105,KEN,Kenya,MSM,2010,"A Venue-Based Approach to Reaching MSM, IDUs and the General Population with VCT: A Three Study Site in Kenya",Singh et al.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4026063/,Yes
107,KEN,Kenya,PWID,2012,Geographic Mapping Of Most At Risk Populations For HIV (MARPS) In Kenya,Kenya MoH,https://hivpreventioncoalition.unaids.org/wp-content/uploads/2020/02/Geographic-Mapping-of-Most-At-Risk-Population-for-HIV-in-Kenya-June-2012.pdf,Yes
107,KEN,Kenya,FSW,2012,Geographic Mapping Of Most At Risk Populations For HIV (MARPS) In Kenya,Kenya MoH,https://hivpreventioncoalition.unaids.org/wp-content/uploads/2020/02/Geographic-Mapping-of-Most-At-Risk-Population-for-HIV-in-Kenya-June-2012.pdf,Yes
107,KEN,Kenya,MSM,2012,Geographic Mapping Of Most At Risk Populations For HIV (MARPS) In Kenya,Kenya MoH,https://hivpreventioncoalition.unaids.org/wp-content/uploads/2020/02/Geographic-Mapping-of-Most-At-Risk-Population-for-HIV-in-Kenya-June-2012.pdf,Yes
108,KEN,Kenya,MSM,2017,"HIV burden and correlates of infection among transfeminine people and cisgender men who have sex with men in Nairobi, Kenya: an observational study",Smith et al,https://www.thelancet.com/journals/lanhiv/article/PIIS2352-3018(20)30310-6/fulltext,Yes
108,KEN,Kenya,TG,2017,"HIV burden and correlates of infection among transfeminine people and cisgender men who have sex with men in Nairobi, Kenya: an observational study",Smith et al,https://www.thelancet.com/journals/lanhiv/article/PIIS2352-3018(20)30310-6/fulltext,Yes
112,KEN,Kenya,FSW,2020,National Key Population Size Estimates In Kenya: Phase 2 Report October 2020,Kenya MoH,,Yes
112,KEN,Kenya,MSM,2020,National Key Population Size Estimates In Kenya: Phase 2 Report October 2020,Kenya MoH,,Yes
112,KEN,Kenya,TG,2020,National Key Population Size Estimates In Kenya: Phase 2 Report October 2020,Kenya MoH,,Yes
112,KEN,Kenya,PWID,2020,National Key Population Size Estimates In Kenya: Phase 2 Report October 2020,Kenya MoH,,Yes
113,KEN,Kenya,TG,2016,HIV testing and the HIV care continuum among sub-Saharan African men who have sex with men and transgender women screened for participation in HPTN 075,Sandfort et al.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6544251/,Yes
113,KEN,Kenya,MSM,2016,HIV testing and the HIV care continuum among sub-Saharan African men who have sex with men and transgender women screened for participation in HPTN 075,Sandfort et al.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6544251/,Yes
113,MWI,Malawi,TG,2016,HIV testing and the HIV care continuum among sub-Saharan African men who have sex with men and transgender women screened for participation in HPTN 075,Sandfort et al.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6544251/,Yes
113,MWI,Malawi,MSM,2016,HIV testing and the HIV care continuum among sub-Saharan African men who have sex with men and transgender women screened for participation in HPTN 075,Sandfort et al.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6544251/,Yes
113,ZAF,South Africa,MSM,2016,HIV testing and the HIV care continuum among sub-Saharan African men who have sex with men and transgender women screened for participation in HPTN 075,Sandfort et al.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6544251/,Yes
113,ZAF,South Africa,TG,2016,HIV testing and the HIV care continuum among sub-Saharan African men who have sex with men and transgender women screened for participation in HPTN 075,Sandfort et al.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6544251/,Yes
114,KEN,Kenya,PWID,2012,"HIV prevalence, estimated incidence, and risk behaviors among people who inject drugs in Kenya",Kurth et al.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4624615/pdf/nihms708909.pdf,Yes
115,KEN,Kenya,MSM,2015,Factors associated with viral suppression among HIV-positive Kenyan gay and bisexual men who have sex with men,Kunzweiler et al.,https://www.tandfonline.com/doi/epdf/10.1080/09540121.2018.1510109?needAccess=true&role=button,Yes
116,KEN,Kenya,MSM,2017,"Disparities in HIV/STI burden and care coverage among men and transgender persons who have sex with men in Nairobi, Kenya: a cross-sectional study",Smith et al.,https://bmjopen.bmj.com/content/11/12/e055783,Yes
116,KEN,Kenya,TG,2017,"Disparities in HIV/STI burden and care coverage among men and transgender persons who have sex with men in Nairobi, Kenya: a cross-sectional study",Smith et al.,https://bmjopen.bmj.com/content/11/12/e055783,Yes
116,ZAF,South Africa,MSM,2017,"HIV testing, care and viral suppression among men who have sex with men and transgender individuals in Johannesburg, South Africa.",Fearon et al.,https://researchonline.lshtm.ac.uk/id/eprint/4657216/,Yes
116,ZAF,South Africa,TG,2017,"HIV testing, care and viral suppression among men who have sex with men and transgender individuals in Johannesburg, South Africa.",Fearon et al.,https://researchonline.lshtm.ac.uk/id/eprint/4657216/,Yes
117,KEN,Kenya,MSM,2019,"HIV prevalence, testing and treatment among men who have sex with men through engagement in virtual sexual networks in Kenya: a cross-sectional bio-behavioural study",Bhattacharjee et al.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7319161/,Yes
118,KEN,Kenya,MSM,2021,"Rectal microbiota diversity in Kenyan MSM is inversely associated with frequency of receptive anal sex, independent of HIV status",Gebrebrhan et al.,https://journals.lww.com/aidsonline/Fulltext/2021/06010/Rectal_microbiota_diversity_in_Kenyan_MSM_is.10.aspx,Yes
120,KEN,Kenya,TG,2019,"Peer Mobilization and Human Immunodeficiency Virus (HIV) Partner Notification Services Among Gay, Bisexual, and Other Men Who Have Sex With Men and Transgender Women in Coastal Kenya Identified a High Number of Undiagnosed HIV Infections",Dijkstra et al.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8186249/#sup1,Yes
120,KEN,Kenya,MSM,2019,"Peer Mobilization and Human Immunodeficiency Virus (HIV) Partner Notification Services Among Gay, Bisexual, and Other Men Who Have Sex With Men and Transgender Women in Coastal Kenya Identified a High Number of Undiagnosed HIV Infections",Dijkstra et al.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8186249/#sup1,Yes
122,KEN,Kenya,PWID,2010,Rapid situational assessment of people who inject drugs (PWID) in Nairobi and coastal regions of Kenya: a respondent driven sampling survey,Oguya et al.,https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-021-11373-9,Yes
123,KEN,Kenya,PWID,2010,"Estimates of the size of key populations at risk for HIV infection: men who have sex with men, female sex workers and injecting drug users in Nairobi, Kenya",Okal et al.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4784698/pdf/nihms764971.pdf,Yes
123,KEN,Kenya,FSW,2010,"Estimates of the size of key populations at risk for HIV infection: men who have sex with men, female sex workers and injecting drug users in Nairobi, Kenya",Okal et al.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4784698/pdf/nihms764971.pdf,Yes
123,KEN,Kenya,MSM,2010,"Estimates of the size of key populations at risk for HIV infection: men who have sex with men, female sex workers and injecting drug users in Nairobi, Kenya",Okal et al.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4784698/pdf/nihms764971.pdf,Yes
124,KEN,Kenya,FSW,2018,KEY POPULATION MAPPING AND SIZE ESTIMATION IN SELECTED COUNTIES IN KENYA: PHASE 1,Kenya MoH,https://hivpreventioncoalition.unaids.org/wp-content/uploads/2020/02/KPSE-Phase1-Final-Report.pdf,Yes
124,KEN,Kenya,MSM,2018,KEY POPULATION MAPPING AND SIZE ESTIMATION IN SELECTED COUNTIES IN KENYA: PHASE 1,Kenya MoH,https://hivpreventioncoalition.unaids.org/wp-content/uploads/2020/02/KPSE-Phase1-Final-Report.pdf,Yes
124,KEN,Kenya,TG,2018,KEY POPULATION MAPPING AND SIZE ESTIMATION IN SELECTED COUNTIES IN KENYA: PHASE 1,Kenya MoH,https://hivpreventioncoalition.unaids.org/wp-content/uploads/2020/02/KPSE-Phase1-Final-Report.pdf,Yes
124,KEN,Kenya,PWID,2018,KEY POPULATION MAPPING AND SIZE ESTIMATION IN SELECTED COUNTIES IN KENYA: PHASE 1,Kenya MoH,https://hivpreventioncoalition.unaids.org/wp-content/uploads/2020/02/KPSE-Phase1-Final-Report.pdf,Yes
125,LSO,Lesotho,FSW,2018,INTEGRATED BIO-BEHAVIOURAL SURVEILLANCE SURVEY (IBBSS2) REPORT FOR KEY POPULATIONS IN LESOTHO  (Female Sex Workers and Men who have Sex with Men),Lesotho MoH.,http://nac.org.ls/wp-content/uploads/2019/06/Lesotho-IBBSS2-Final-Report.pdf,Yes
125,LSO,Lesotho,MSM,2018,INTEGRATED BIO-BEHAVIOURAL SURVEILLANCE SURVEY (IBBSS2) REPORT FOR KEY POPULATIONS IN LESOTHO,Lesotho MoH.,http://nac.org.ls/wp-content/uploads/2019/06/Lesotho-IBBSS2-Final-Report.pdf,Yes
127,LSO,Lesotho,FSW,2014,"Characterizing Multi-level Determinants of HIV Prevalence Among Female Sex Workers in Maseru and Maputsoe, Lesotho",Mozzami et al.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6821589/,No - obtained from UNAIDS source repository
127,LSO,Lesotho,MSM,2014,"Characterizing HIV Prevention, Treatment And Care Needs Among Men Who Have Sex With Men And Female Sex Workers In Lesotho",Sweitzer et al.,,No - obtained from UNAIDS source repository
128,MLI,Mali,MSM,2014,"Étude bio-comportementale sur les hommes qui ont des rapports sexuels avec des hommes à Bamako Mali, 2014-15",Mali MoH,,No - obtained from UNAIDS source repository
130,MLI,Mali,TG,2019,Analyse De La Situation Des Personnes Transgenres Au Mali En Relation Avec L'infection A VIH Et Le Sida,"INACES, PLAN International Mali",,Yes
131,MLI,Mali,FSW,2019,Cartographie et Estimation de la taille des Professionnelles de Sexe (PS) et des Hommes ayant des rapports Sexuels avec d’autres Hommes (HSH) couplées à l’étude bio-comportementale chez les HSH en matière de VIH au Mali,Mali MoH,,Yes
131,MLI,Mali,MSM,2019,Cartographie et Estimation de la taille des Professionnelles de Sexe (PS) et des Hommes ayant des rapports Sexuels avec d’autres Hommes (HSH) couplées à l’étude bio-comportementale chez les HSH en matière de VIH au Mali,Mali MoH,,Yes
132,MLI,Mali,MSM,2015,"An urgent need for HIV testing among men who have sex with men and transgender women in Bamako, Mali: Low awareness of HIV infection and viral suppression among those living with HIV",Hakim et al,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6231666/,Yes
132,MLI,Mali,TG,2015,"An urgent need for HIV testing among men who have sex with men and transgender women in Bamako, Mali: Low awareness of HIV infection and viral suppression among those living with HIV",Hakim et al,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6231666/,Yes
134,MLI,Mali,FSW,2015,Cartographie Programmatique et Géographique des Populations Clés au Mali,"PLAN International Mali, PLAN Canada",,Yes
134,MLI,Mali,MSM,2015,Cartographie Programmatique et Géographique des Populations Clés au Mali,"PLAN International Mali, PLAN Canada",,Yes
135,MLI,Mali,PWID,2017,Estimation Scientifique De La Taille Et Cartographie Des Utilisateurs De Drogues Par Injection En Relation Avec L'infection Par Le VIH Au Mali,"ERFODEV inc., Plan International Mali",,Yes
136,MLI,Mali,FSW,2018,"Etude Bio-comportementale IST, VIH et tuberculose chez les femmes travailleuses du sexe et les routiers au Mali 2017-2019",Mali MoH,,Yes
137,MLI,Mali,FSW,2017,"Prevalence and Factors Associated With HIV and Sexually Transmitted Infections Among Female Sex Workers in Bamako, Mali",Tounkara et al.,https://pubmed.ncbi.nlm.nih.gov/32932403/,Yes
138,MLI,Mali,MSM,2019,"High Prevalence of Anal Oncogenic Human Papillomavirus Infection in Young Men Who Have Sex with Men Living in Bamako, Mali",Koyalta et al.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8252282/,Yes
139,MOZ,Mozambique,MSM,2011,"The Integrated Biological and Behavioral Survey among Men Who Have Sex with Men, Mozambique, 2011",Mozambique MoH,https://globalhealthsciences.ucsf.edu/sites/globalhealthsciences.ucsf.edu/files/pub/ibbs-msm-final-report.pdf,Yes
140,MOZ,Mozambique,FSW,2012,"The Integrated Biological and Behavioral Survey among Female Sex Workers, Mozambique 2011– 2012",Mozambique MoH,https://globalhealthsciences.ucsf.edu/sites/globalhealthsciences.ucsf.edu/files/pub/ibbs-fsw-final-report.pdf,Yes
141,MOZ,Mozambique,PWID,2014,"The Integrated Biological and Behavioral Survey Among People Who Inject Drugs, Mozambique, 2014",Mozambique MoH,https://globalhealthsciences.ucsf.edu/sites/globalhealthsciences.ucsf.edu/files/pub/pwid-final-report-20180329.pdf,Yes
142,MOZ,Mozambique,FSW,2017,Mapeamento Programático e Prevalência de HIV entre Populações Chave em 5 Províncias de Moçambique: Estudo PLACE 2017,CIOB,https://www.fhi360.org/sites/default/files/media/documents/resource-linkages-portuguese-mozambique-report-august-2018.pdf,Yes
142,MOZ,Mozambique,MSM,2017,Mapeamento Programático e Prevalência de HIV entre Populações Chave em 5 Províncias de Moçambique: Estudo PLACE 2017,CIOB,https://www.fhi360.org/sites/default/files/media/documents/resource-linkages-portuguese-mozambique-report-august-2018.pdf,Yes
142,MOZ,Mozambique,PWID,2017,Mapeamento Programático e Prevalência de HIV entre Populações Chave em 5 Províncias de Moçambique: Estudo PLACE 2017,CIOB,https://www.fhi360.org/sites/default/files/media/documents/resource-linkages-portuguese-mozambique-report-august-2018.pdf,Yes
142,MOZ,Mozambique,TG,2017,Mapeamento Programático e Prevalência de HIV entre Populações Chave em 5 Províncias de Moçambique: Estudo PLACE 2017,CIOB,https://www.fhi360.org/sites/default/files/media/documents/resource-linkages-portuguese-mozambique-report-august-2018.pdf,Yes
143,MOZ,Mozambique,FSW,2021,Round II BBS,Mozambique MoH,,Yes
146,MWI,Malawi,CFSW,2013,Malawi Biological And Behavioural Surveillance Survey Report 2013-2014,National Statistical Office of Malawi,http://www.nsomalawi.mw/images/stories/data_on_line/demography/bbss/BBSS%202013-2014%20Report.pdf,Yes
146,MWI,Malawi,FSW,2013,Malawi Biological And Behavioural Surveillance Survey Report 2013-2014,National Statistical Office of Malawi,http://www.nsomalawi.mw/images/stories/data_on_line/demography/bbss/BBSS%202013-2014%20Report.pdf,Yes
148,MWI,Malawi,FSW,2011,"Counting The Uncatchables! Report Of The Situation Analysis Of The Magnitude, Behavioural Patterns, Contributing Factors, Current Interventions And Impact Of Sex Work In HIV Prevention In Malawi",FPAM,,Yes
149,MWI,Malawi,MSM,2013,HIV Prevalence and Sociobehavioral Characteristics Among Men Who Have Sex with Men Across Seven Sites in Malawi,Wirtz et al.,,Yes
150,MWI,Malawi,FSW,2016,"PLACE REPORT Malawi, September 2018",Malawi MoH,https://www.fhi360.org/sites/default/files/media/documents/resource-linkages-malawi-place-report.pdf,Yes
150,MWI,Malawi,MSM,2016,"PLACE REPORT Malawi, September 2018",Malawi MoH,https://www.fhi360.org/sites/default/files/media/documents/resource-linkages-malawi-place-report.pdf,Yes
151,MWI,Malawi,CFSW,2019,MALAWI BIOLOGICAL AND BEHAVIOURAL SURVEILLANCE SURVEY 2019-2020,National Statistical Office of Malawi,,Yes
151,MWI,Malawi,FSW,2019,MALAWI BIOLOGICAL AND BEHAVIOURAL SURVEILLANCE SURVEY 2019-2020,National Statistical Office of Malawi,,Yes
151,MWI,Malawi,MSM,2019,MALAWI BIOLOGICAL AND BEHAVIOURAL SURVEILLANCE SURVEY 2019-2020,National Statistical Office of Malawi,,Yes
151,MWI,Malawi,TGW,2019,MALAWI BIOLOGICAL AND BEHAVIOURAL SURVEILLANCE SURVEY 2019-2020,National Statistical Office of Malawi,,Yes
152,MWI,Malawi,TG,2020,"HIV risk, access to health services and population size estimate of transgender community in Malawi","National AIDS Commission, Malawi",,Yes
154,MWI,Malawi,MSM,2011,Geographical disparities in HIV prevalence and care among men who have sex with men in Malawi: results from a multisite cross-sectional survey,Wirtz et al.,https://www.thelancet.com/journals/lanhiv/article/PIIS2352-3018(17)30042-5/fulltext,Yes
155,NAM,Namibia,FSW,2012,Results of the 2012-2014 Integrated Biological and Behavioral Surveillance Studies among Female Sex Workers in Namibia,Namibia MoH,http://ucglobalprograms.org/sites/default/files/namibia-ibbss-msm-2017.pdf,Yes
156,NAM,Namibia,MSM,2012,Results of the Namibia Men’s Health Study: Integrated Biological and Behavioral Surveillance Studies among Men who have Sex with Men in Namibia,Namibia MoH,,Yes
157,NAM,Namibia,FSW,2019,Results of the Namibia Integrated Biological and Behavioral Surveys among Key Populations: Nam-IBBS 2019,Namibia MoH,,Yes
157,NAM,Namibia,MSM,2019,Results of the Namibia Integrated Biological and Behavioral Surveys among Key Populations: Nam-IBBS 2019,Namibia MoH,,Yes
158,NGA,Nigeria,MSM,2010,High HIV Prevalence Among Men Who Have Sex With Men in Nigeria Implications for Combination Prevention,Vu et al.,https://journals.lww.com/jaids/Fulltext/2013/06010/High_HIV_Prevalence_Among_Men_Who_Have_Sex_With.14.aspx,Yes
159,NGA,Nigeria,FSW,2010,"HIV Integrated Biological and Behavioural Surveillance Survey (IBBSS), 2010",Nigeria MoH,https://naca.gov.ng/wp-content/uploads/2016/11/IBBSS-2010.pdf,Yes
159,NGA,Nigeria,MSM,2010,"HIV Integrated Biological and Behavioural Surveillance Survey (IBBSS), 2010",Nigeria MoH,https://naca.gov.ng/wp-content/uploads/2016/11/IBBSS-2010.pdf,Yes
159,NGA,Nigeria,PWID,2010,"HIV Integrated Biological and Behavioural Surveillance Survey (IBBSS), 2010",Nigeria MoH,https://naca.gov.ng/wp-content/uploads/2016/11/IBBSS-2010.pdf,Yes
160,NGA,Nigeria,FSW,2014,"INTEGRATED BIOLOGICAL AND BEHAVIOURAL SURVEILLANCE SURVEY (IBBSS), 2014",Nigeria MoH,https://naca.gov.ng/wp-content/uploads/2016/11/Final-Nigeria-IBBSS-2014-report.pdf,Yes
160,NGA,Nigeria,MSM,2014,"INTEGRATED BIOLOGICAL AND BEHAVIOURAL SURVEILLANCE SURVEY (IBBSS), 2014",Nigeria MoH,https://naca.gov.ng/wp-content/uploads/2016/11/Final-Nigeria-IBBSS-2014-report.pdf,Yes
160,NGA,Nigeria,PWID,2014,"INTEGRATED BIOLOGICAL AND BEHAVIOURAL SURVEILLANCE SURVEY (IBBSS), 2014",Nigeria MoH,https://naca.gov.ng/wp-content/uploads/2016/11/Final-Nigeria-IBBSS-2014-report.pdf,Yes
161,NGA,Nigeria,FSW,2015,Mapping and Characterisations of Key Populations 2015,Nigeria MoH,,Yes
161,NGA,Nigeria,MSM,2015,Mapping and Characterisations of Key Populations 2015,Nigeria MoH,,Yes
161,NGA,Nigeria,PWID,2015,Mapping and Characterisations of Key Populations 2015,Nigeria MoH,,Yes
162,NGA,Nigeria,MSM,2015,"Stigma, Access to Care, and HIV among Men who Sell Sex in Nigeria",Crowell et al.,https://www.croiconference.org/wp-content/uploads/sites/2/posters/2016/922.pdf,Yes
162,NGA,Nigeria,TG,2015,"Stigma, Access to Care, and HIV among Men who Sell Sex in Nigeria",Crowell et al.,https://www.croiconference.org/wp-content/uploads/sites/2/posters/2016/922.pdf,Yes
